office,plan_no,area_code,title,location,type
New Territories and Islands,S/I-CLK/14,I-CLK,Chek Lap Kok Outline Zoning Plan,Chek Lap Kok,OZP
New Territories and Islands,S/I-DB/4,I-DB,Discovery Bay Outline Zoning Plan,Discovery Bay,OZP
New Territories and Islands,S/I-LI/11,I-LI,Lamma Island Outline Zoning Plan,Lamma Island,OZP
New Territories and Islands,S/I-NEL/12,I-NEL,North-East Lantau Outline Zoning Plan,North-East Lantau,OZP
New Territories and Islands,S/I-MWI/14,I-MWI,Ma Wan Outline Zoning Plan,Ma Wan,OZP
New Territories and Islands,S/I-PC/12,I-PC,Peng Chau Outline Zoning Plan,Peng Chau,OZP
New Territories and Islands,S/I-SHW/2,I-SHW,Siu Ho Wan Outline Zoning Plan,Siu Ho Wan,OZP
New Territories and Islands,S/I-SKC/2,I-SKC,Shek Kwu Chau Outline Zoning Plan,Shek Kwu Chau,OZP
New Territories and Islands,S/I-TCE/2,I-TCE,Tung Chung Extension Area Outline Zoning Plan,Tung Chung Extension Area,OZP
New Territories and Islands,S/I-TCTC/23,I-TCTC,Tung Chung Town Centre Area Outline Zoning Plan,Tung Chung Town Centre Area,OZP
New Territories and Islands,S/I-TOTC/2,I-TOTC,Tai O Town Centre Area Outline Zoning Plan,Tai O Town Centre Area,OZP
New Territories and Islands,S/KC/29,KC,Kwai Chung Outline Zoning Plan,Kwai Chung,OZP
New Territories and Islands,S/KTN/2,KTN,Kwu Tung North Outline Zoning Plan,Kwu Tung North,OZP
New Territories and Islands,S/LMCL/2,LMCL,Lok Ma Chau Loop Outline Zoning Plan,Lok Ma Chau Loop,OZP
New Territories and Islands,S/MOS/22,MOS,Ma On Shan Outline Zoning Plan,Ma On Shan,OZP
New Territories and Islands,S/PSK/13,PSK,Pak Shek Kok (East) Outline Zoning Plan,Pak Shek Kok (East),OZP
New Territories and Islands,S/SC/10,SC,Stonecutters Island Outline Zoning Plan,Stonecutters Island,OZP
New Territories and Islands,S/SK-SKT/6,SK-SKT,Sai Kung Town Outline Zoning Plan,Sai Kung Town,OZP
New Territories and Islands,S/SLC/21,SLC,South Lantau Coast Outline Zoning Plan,South Lantau Coast,OZP
New Territories and Islands,S/ST/34,ST,Sha Tin Outline Zoning Plan,Sha Tin,OZP
New Territories and Islands,S/TKO/27,TKO,Tseung Kwan O Outline Zoning Plan,Tseung Kwan O,OZP
New Territories and Islands,S/TM/35,TM,Tuen Mun Outline Zoning Plan,Tuen Mun,OZP
New Territories and Islands,S/TP/28,TP,Tai Po Outline Zoning Plan,Tai Po,OZP
New Territories and Islands,S/TSW/14,TSW,Tin Shui Wai Outline Zoning Plan,Tin Shui Wai,OZP
New Territories and Islands,S/TW/33,TW,Tsuen Wan Outline Zoning Plan,Tsuen Wan,OZP
New Territories and Islands,S/TWW/19,TWW,Tsuen Wan West Outline Zoning Plan,Tsuen Wan West,OZP
New Territories and Islands,S/TY/30,TY,Tsing Yi Outline Zoning Plan,Tsing Yi,OZP
New Territories and Islands,S/YL/23,YL,Yuen Long Outline Zoning Plan,Yuen Long,OZP
Tsuen Wan and West Kowloon District Planning Office,S/TW-CLHFS/1,TW-CLHFS,Chuen Lung and Ha Fa Shan Outline Zoning Plan,Chuen Lung and Ha Fa Shan,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-CK/2,NE-CK,Chek Keng Outline Zoning Plan,Chek Keng,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-CS/2,NE-CS,Cheung Sheung Outline Zoning Plan,Cheung Sheung,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-FTA/16,NE-FTA,Fu Tei Au & Sha Ling Outline Zoning Plan,Fu Tei Au & Sha Ling,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-HH/3,NE-HH,Hoi Ha Outline Zoning Plan,Hoi Ha,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-HLH/11,NE-HLH,Hung Lung Hang Outline Zoning Plan,Hung Lung Hang,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-HT/5,NE-HT,Hok Tau Outline Zoning Plan,Hok Tau,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-KLH/11,NE-KLH,Kau Lung Hang Outline Zoning Plan,Kau Lung Hang,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-KLW/2,NE-KLW,Ko Lau Wan Outline Zoning Plan,Ko Lau Wan,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-KP/2,NE-KP,"Kuk Po, Fung Hang and Yung Shue Au Outline Zoning Plan","Kuk Po, Fung Hang and Yung Shue Au",ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-LCW/2,NE-LCW,"Lai Chi Wo, Siu Tan and Sam A Tsuen Outline Zoning Plan","Lai Chi Wo, Siu Tan and Sam A Tsuen",ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-LK/11,NE-LK,Luk Keng & Wo Hang Outline Zoning Plan,Luk Keng & Wo Hang,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-LMH/2,NE-LMH,Lin Ma Hang Outline Zoning Plan,Lin Ma Hang,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-LT/11,NE-LT,Lam Tsuen Outline Zoning Plan,Lam Tsuen,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-LYT/17,NE-LYT,Lung Yeuk Tau & Kwan Tei South Outline Zoning Plan,Lung Yeuk Tau & Kwan Tei South,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-MKT/4,NE-MKT,Man Kam To Outline Zoning Plan,Man Kam To,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-MTL/3,NE-MTL,Ma Tso Lung and Hoo Hok Wai Outline Zoning Plan,Ma Tso Lung and Hoo Hok Wai,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-MUP/11,NE-MUP,Man Uk Pin Outline Zoning Plan,Man Uk Pin,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-PC/1,NE-PC,Ping Chau Outline Zoning Plan,Ping Chau,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-PK/11,NE-PK,Ping Kong Outline Zoning Plan,Ping Kong,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-PSO/2,NE-PSO,Pak Sha O Outline Zoning Plan,Pak Sha O,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-SC/3,NE-SC,Sham Chung Outline Zoning Plan,Sham Chung,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-SLP/3,NE-SLP,So Lo Pun Outline Zoning Plan,So Lo Pun,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-SLT/4,NE-SLT,Sha Lo Tung Outline Zoning Plan,Sha Lo Tung,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-SSH/11,NE-SSH,Shap Sz Heung Outline Zoning Plan,Shap Sz Heung,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-STK/2,NE-STK,Sha Tau Kok Outline Zoning Plan,Sha Tau Kok,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-TK/19,NE-TK,Ting Kok Outline Zoning Plan,Ting Kok,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-TKL/14,NE-TKL,Ping Che & Ta Kwu Ling Outline Zoning Plan,Ping Che & Ta Kwu Ling,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-TKLN/2,NE-TKLN,Ta Kwu Ling North Outline Zoning Plan,Ta Kwu Ling North,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-TKP/2,NE-TKP,To Kwa Peng and Pak Tam Au Outline Zoning Plan,To Kwa Peng and Pak Tam Au,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-TPK/2,NE-TPK,Tai Po Kau Outline Zoning Plan,Tai Po Kau,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-TT/2,NE-TT,"Tai Tan, Uk Tau, Ko Tong and Ko Tong Ha Yeung Outline Zoning Plan","Tai Tan, Uk Tau, Ko Tong and Ko Tong Ha Yeung",ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-WKS/10,NE-WKS,Wo Keng Shan Outline Zoning Plan,Wo Keng Shan,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-WKT/6,NE-WKT,Wu Kau Tang Outline Zoning Plan,Wu Kau Tang,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-YSO/2,NE-YSO,Yung Shue O Outline Zoning Plan,Yung Shue O,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/NE-YTT/2,NE-YTT,Yim Tin Tsai and Ma Shi Chau Outline Zoning Plan,Yim Tin Tsai and Ma Shi Chau,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/ST-KYS/11,ST-KYS,Kwun Yam Sha & Fa Sam Hang Outline Zoning Plan,Kwun Yam Sha & Fa Sam Hang,ROZP
"Sha Tin, Tai Po & North District Planning Office",S/ST-MP/2,ST-MP,Mau Ping Outline Zoning Plan,Mau Ping,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/NE-KTS/16,NE-KTS,Kwu Tung South Outline Zoning Plan,Kwu Tung South,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-KTN/9,YL-KTN,Kam Tin North Outline Zoning Plan,Kam Tin North,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-KTS/15,YL-KTS,Kam Tin South Outline Zoning Plan,Kam Tin South,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-MP/6,YL-MP,Mai Po & Fairview Park Outline Zoning Plan,Mai Po & Fairview Park,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-NSW/8,YL-NSW,Nam Sang Wai Outline Zoning Plan,Nam Sang Wai,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-NTM/12,YL-NTM,Ngau Tam Mei Outline Zoning Plan,Ngau Tam Mei,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-PH/11,YL-PH,Pat Heung Outline Zoning Plan,Pat Heung,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-SK/9,YL-SK,Shek Kong Outline Zoning Plan,Shek Kong,ROZP
"Fanling, Sheung Shui & Yuen Long East District Planning Office",S/YL-ST/8,YL-ST,San Tin Outline Zoning Plan,San Tin,ROZP
Sai Kung & Islands District Planning Office,S/I-LWKS/2,I-LWKS,Luk Wu and Keung Shan Outline Zoning Plan,Luk Wu and Keung Shan,ROZP
