area_code,location_edit,location,office,plan_no,title,type,map_index
K16,Lai Chi Kok,Lai Chi Kok (KPA 16),Kowloon Planning Areas,S/K16/16,Lai Chi Kok (KPA 16) Outline Zoning Plan,OZP,37
K18,Kowloon Tong,Kowloon Tong (KPA 18),Kowloon Planning Areas,S/K18/21,Kowloon Tong (KPA 18) Outline Zoning Plan,OZP,38
K20,South West Kowloon,South West Kowloon (KPA 20),Kowloon Planning Areas,S/K20/30,South West Kowloon (KPA 20) Outline Zoning Plan,OZP,39
K22,Kai Tak,Kai Tak (KPA 22),Kowloon Planning Areas,S/K22/6,Kai Tak (KPA 22) Outline Zoning Plan,OZP,40
FLN,Fanling North,Fanling North,New Territories and Islands,S/FLN/2,Fanling North Outline Zoning Plan,OZP,41
FSS,Fanling / Sheung Shui,Fanling / Sheung Shui,New Territories and Islands,S/FSS/24,Fanling / Sheung Shui Outline Zoning Plan,OZP,42
HSK,Hung Shui Kiu and Ha Tsuen,Hung Shui Kiu and Ha Tsuen,New Territories and Islands,S/HSK/2,Hung Shui Kiu and Ha Tsuen Outline Zoning Plan,OZP,43
I-CC,Cheung Chau,Cheung Chau,New Territories and Islands,S/I-CC/8,Cheung Chau Outline Zoning Plan,OZP,44
I-CLK,Chek Lap Kok,Chek Lap Kok,New Territories and Islands,S/I-CLK/14,Chek Lap Kok Outline Zoning Plan,OZP,45
I-DB,Discovery Bay,Discovery Bay,New Territories and Islands,S/I-DB/4,Discovery Bay Outline Zoning Plan,OZP,46
I-LI,Lamma Island,Lamma Island,New Territories and Islands,S/I-LI/11,Lamma Island Outline Zoning Plan,OZP,47
I-NEL,North-East Lantau,North-East Lantau,New Territories and Islands,S/I-NEL/12,North-East Lantau Outline Zoning Plan,OZP,48
I-MWI,Ma Wan,Ma Wan,New Territories and Islands,S/I-MWI/14,Ma Wan Outline Zoning Plan,OZP,49
I-PC,Peng Chau,Peng Chau,New Territories and Islands,S/I-PC/12,Peng Chau Outline Zoning Plan,OZP,50
I-SHW,Siu Ho Wan,Siu Ho Wan,New Territories and Islands,S/I-SHW/2,Siu Ho Wan Outline Zoning Plan,OZP,51
I-SKC,Shek Kwu Chau,Shek Kwu Chau,New Territories and Islands,S/I-SKC/2,Shek Kwu Chau Outline Zoning Plan,OZP,52
I-TCE,Tung Chung Extension Area,Tung Chung Extension Area,New Territories and Islands,S/I-TCE/2,Tung Chung Extension Area Outline Zoning Plan,OZP,53
I-TCTC,Tung Chung Town Centre Area,Tung Chung Town Centre Area,New Territories and Islands,S/I-TCTC/23,Tung Chung Town Centre Area Outline Zoning Plan,OZP,54
I-TOTC,Tai O Town Centre Area,Tai O Town Centre Area,New Territories and Islands,S/I-TOTC/2,Tai O Town Centre Area Outline Zoning Plan,OZP,55
KC,Kwai Chung,Kwai Chung,New Territories and Islands,S/KC/29,Kwai Chung Outline Zoning Plan,OZP,56
KTN,Kwu Tung North,Kwu Tung North,New Territories and Islands,S/KTN/2,Kwu Tung North Outline Zoning Plan,OZP,57
LMCL,Lok Ma Chau Loop,Lok Ma Chau Loop,New Territories and Islands,S/LMCL/2,Lok Ma Chau Loop Outline Zoning Plan,OZP,58
MOS,Ma On Shan,Ma On Shan,New Territories and Islands,S/MOS/22,Ma On Shan Outline Zoning Plan,OZP,59
PSK,Pak Shek Kok (East),Pak Shek Kok (East),New Territories and Islands,S/PSK/13,Pak Shek Kok (East) Outline Zoning Plan,OZP,60
SC,Stonecutters Island,Stonecutters Island,New Territories and Islands,S/SC/10,Stonecutters Island Outline Zoning Plan,OZP,61
SK-SKT,Sai Kung Town,Sai Kung Town,New Territories and Islands,S/SK-SKT/6,Sai Kung Town Outline Zoning Plan,OZP,62
SLC,South Lantau Coast,South Lantau Coast,New Territories and Islands,S/SLC/21,South Lantau Coast Outline Zoning Plan,OZP,63
ST,Sha Tin,Sha Tin,New Territories and Islands,S/ST/34,Sha Tin Outline Zoning Plan,OZP,64
TKO,Tseung Kwan O,Tseung Kwan O,New Territories and Islands,S/TKO/27,Tseung Kwan O Outline Zoning Plan,OZP,65
TM,Tuen Mun,Tuen Mun,New Territories and Islands,S/TM/35,Tuen Mun Outline Zoning Plan,OZP,66
TP,Tai Po,Tai Po,New Territories and Islands,S/TP/28,Tai Po Outline Zoning Plan,OZP,67
TSW,Tin Shui Wai,Tin Shui Wai,New Territories and Islands,S/TSW/14,Tin Shui Wai Outline Zoning Plan,OZP,68
TW,Tsuen Wan,Tsuen Wan,New Territories and Islands,S/TW/33,Tsuen Wan Outline Zoning Plan,OZP,69
TWW,Tsuen Wan West,Tsuen Wan West,New Territories and Islands,S/TWW/19,Tsuen Wan West Outline Zoning Plan,OZP,70
TY,Tsing Yi,Tsing Yi,New Territories and Islands,S/TY/30,Tsing Yi Outline Zoning Plan,OZP,71
YL,Yuen Long,Yuen Long,New Territories and Islands,S/YL/23,Yuen Long Outline Zoning Plan,OZP,72
