_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6718,773004,813,Bloor St W,813 Bloor St W,M6G 1L8,former Toronto,Toronto,University-Rosedale (11),,112001,30039479,813,,,,458,,,-79.42176294,43.66255381,108,Bike Rack,Bloor St W,8,2.9,2014,N/A,,49,"{""type"": ""Point"", ""coordinates"": [-79.4217629457854, 43.6625538026018]}"
6719,785590,940,College St,940 College St,M6H 1A5,former Toronto,Toronto,Davenport (9),,107010,14018364,940,,,,9765,,,-79.42663096,43.65375156,114,Bike Rack,Dovercourt Rd,8,2.9,2016,N/A,,50,"{""type"": ""Point"", ""coordinates"": [-79.4266277065843, 43.6537429799659]}"
6720,773158,1034,Bloor St W,1034 Bloor St W,M6H 1M3,former Toronto,Toronto,Davenport (9),,107010,1143821,1034,,,,458,,,-79.43193747,43.66089346,8,Angled Bike Rack,Salem Ave,5,2.9,2016,N/A,,51,"{""type"": ""Point"", ""coordinates"": [-79.4319342255372, 43.6608848734219]}"
6721,10334643,12,Emerson Ave,12 Emerson Ave,M6H 3S8,former Toronto,Toronto,Davenport (9),,115001,14012771,12,,,,3396,,,-79.44131654,43.65939156,14,Bike Corral,Emerson Ave,14,5.5,2014,NO,,52,"{""type"": ""Point"", ""coordinates"": [-79.4413132921915, 43.659382977936104]}"
6722,20364714,82,Fort York Blvd,82 Fort York Blvd,M5V 4A6,former Toronto,Toronto,Spadina-Fort York (10),,112001,30036751,82,,,,15826,,,-79.39677083,43.64002178,109,Bike Rack,Fort York Blvd,8,2.9,2016,N/A,,53,"{""type"": ""Point"", ""coordinates"": [-79.3967708309412, 43.6400217734976]}"
6723,20040470,65,Dundas St W,65 Dundas St W,M5G 2C3,former Toronto,Toronto,Toronto Centre (13),Eaton Centre Retail Entr,112001,7762832,65,,,,558,,,-79.38301052,43.65560236,91,Bike Rack,Bay St,32,2.9,2016,N/A,,54,"{""type"": ""Point"", ""coordinates"": [-79.3830072851693, 43.6555937758623]}"
6724,10576992,860,College St,860 College St,M6H 1A2,former Toronto,Toronto,Davenport (9),,115001,10576972,860,,,,9765,,,-79.42385716,43.65446607,110,Bike Rack,Concord Ave,8,2.9,2016,N/A,,55,"{""type"": ""Point"", ""coordinates"": [-79.4238539128414, 43.6544574848038]}"
6725,6047970,901,King St W,901 King St W,M5V 3H5,former Toronto,Toronto,Spadina-Fort York (10),,115001,14024874,901,,,,3780,,,-79.41125002,43.64188101,111,Bike Rack,King St W,8,2.9,2016,N/A,,56,"{""type"": ""Point"", ""coordinates"": [-79.4112467840044, 43.6418724238127]}"
6726,30039986,92,Fort York Blvd,92 Fort York Blvd,M5V 4A7,former Toronto,Toronto,Spadina-Fort York (10),,115001,30036751,92,,,,15826,,,-79.39696818,43.6399814,112,Bike Rack,Fort York Blvd,8,2.9,2016,N/A,,57,"{""type"": ""Point"", ""coordinates"": [-79.3969681695071, 43.6399814003218]}"
6727,30035793,92,Sudbury St,92 Sudbury St,M6J 0C5,former Toronto,Toronto,Davenport (9),,112001,7553518,92,,,,4502,,,-79.42316564,43.64134589,113,Bike Corral,Lisgar St,14,5.5,2017,NO,,58,"{""type"": ""Point"", ""coordinates"": [-79.4231656377467, 43.6413458972849]}"
6728,30035742,44,Lisgar St,44 Lisgar St,,former Toronto,Toronto,Davenport (9),,107010,14024655,44,,,,3859,,,-79.42344119,43.64208654,67,Bike Rack,Lisgar St,8,2.9,2016,N/A,,59,"{""type"": ""Point"", ""coordinates"": [-79.4234411856628, 43.6420865352289]}"
6729,11075760,95,Front St E,95 Front St E,M5E 1C2,former Toronto,Toronto,Toronto Centre (13),,115001,11075761,95,,,,3471,,,-79.37149694,43.64918984,115,Bike Rack,Lower Jarvis St,8,2.9,2014,N/A,,60,"{""type"": ""Point"", ""coordinates"": [-79.3714937127787, 43.6491812588323]}"
6730,379258,95,River Grove Dr,95 River Grove Dr,M1W 3T8,Scarborough,Toronto,Scarborough-Agincourt (22),,100001,20052191,95,,,,8803,,,-79.31739288,43.8209557,116,Bike Rack,Kennedy Rd,8,2.9,2016,N/A,,61,"{""type"": ""Point"", ""coordinates"": [-79.3173896510384, 43.8209470944401]}"
6731,10034904,953,Gerrard St E,953 Gerrard St E,M4M 1Z4,former Toronto,Toronto,Toronto-Danforth (14),"Matty Eckler Playground,Pape Avenue Playground",106007,10034902,953,,,,3495,,,-79.33939699,43.66805367,117,Bike Rack,Pape Ave,16,2.9,2016,N/A,,62,"{""type"": ""Point"", ""coordinates"": [-79.3393969830404, 43.668053671131]}"
6732,10335151,695,Lansdowne Ave,695 Lansdowne Ave,M6H 3Y9,former Toronto,Toronto,Davenport (9),,115001,14012788,695,,,,3814,,,-79.44281043,43.65912904,97,Bike Rack,Lansdowne Ave,8,2.9,2014,N/A,,63,"{""type"": ""Point"", ""coordinates"": [-79.4428104294615, 43.6591290436207]}"
6733,825934,55,John St,55 John St,M5V 3C6,former Toronto,Toronto,Spadina-Fort York (10),Metro Hall,104008,1146312,55,,,,9747,,,-79.38893473,43.64616238,84,Bike Rack,John St,16,2.9,2015,N/A,,64,"{""type"": ""Point"", ""coordinates"": [-79.3889314920572, 43.6461537935103]}"
6734,14171704,300,Victoria St,300 Victoria St,,former Toronto,Toronto,Toronto Centre (13),,115001,30075809,300,,,,9790,,,-79.38023768,43.65751263,52,Bike Rack,Gould St,32,2.9,2016,N/A,,65,"{""type"": ""Point"", ""coordinates"": [-79.3802376738898, 43.6575126331535]}"
6735,30015452,138,Fort York Blvd,138 Fort York Blvd,M5V 0E3,former Toronto,Toronto,Spadina-Fort York (10),,100001,30015458,138,,,,15826,,,-79.39879034,43.63938934,20,Bike Rack,Ft York Blvd,8,2.9,2016,N/A,,66,"{""type"": ""Point"", ""coordinates"": [-79.3987871031906, 43.6393807610521]}"
6736,8312904,1595,Dupont St,1595 Dupont St,M6P 3S8,former Toronto,Toronto,Davenport (9),,115001,8312902,1595,,,,3343,,,-79.45422257,43.66494447,26,Bike Rack,Franklin Ave,8,2.9,2017,N/A,,67,"{""type"": ""Point"", ""coordinates"": [-79.4542193179898, 43.66493588945121]}"
6737,8408498,2,Bloor St W,2 Bloor St W,M4W 3E2,former Toronto,Toronto,University-Rosedale (11),,115001,10759265,2,,,,458,,,-79.38723329,43.67040902,32,Bike Rack,Yonge St,32,2.9,2016,N/A,,68,"{""type"": ""Point"", ""coordinates"": [-79.3872300479029, 43.6704004360083]}"
6738,10430677,2000,Yonge St,2000 Yonge St,M4S 1Z7,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,10430667,2000,,,,4733,,,-79.39738479,43.70048292,37,Bike Rack,Glebe Rd W,8,2.9,2016,N/A,,69,"{""type"": ""Point"", ""coordinates"": [-79.3973815441376, 43.7004743321706]}"
