TPU,TPU_id,No schooling/ Pre-primary,Primary,Lower secondary,Upper secondary,Post-secondary: Diploma/ Certificate,Post-secondary: Sub-degree course,Post-secondary: Degree course,Total
823,823,359,558,536,1249,280,114,1289,4385
824 and 829,824,294,439,376,790,175,66,586,2726
824 and 829,829,,,,,,,,
825,825,315,597,468,936,285,188,876,3665
826 and 828,826,1145,1464,1015,1468,401,245,969,6707
826 and 828,828,,,,,,,,
827,827,514,516,531,662,160,123,410,2916
831,831,1665,2321,2493,6369,1276,931,7045,22100
832 and 834,832,466,429,456,850,247,113,1083,3644
832 and 834,834,,,,,,,,
833,833,5334,11063,11171,17148,4091,3530,15064,67401
835,835,2601,5644,4385,5819,1171,1186,3549,24355
836,836,7884,15557,14168,23666,5049,4116,17832,88272
837,837,7750,12661,13477,21555,4599,3828,17368,81238
838,838,9771,17499,16466,29069,5784,4872,23175,106636
839,839,2975,2581,3180,8126,1825,1190,10700,30577
911 - 913,911,651,831,640,1619,440,229,1604,6014
911 - 913,912,,,,,,,,
911 - 913,913,,,,,,,,
920,920,4167,4312,2915,5475,1140,910,2037,20956
931 and 933,931,511,461,431,776,174,152,639,3144
931 and 933,933,,,,,,,,
932 and 934,932,432,423,273,559,163,119,557,2526
932 and 934,934,,,,,,,,
941 - 943,941,189,221,211,264,66,48,185,1184
941 - 943,942,,,,,,,,
941 - 943,943,,,,,,,,
944,944,675,863,500,744,85,52,364,3283
950 - 951,950,7161,12429,13778,24299,5412,4327,18997,86403
950 - 951,951,,,,,,,,
961 - 963,961,1093,1076,947,2090,375,377,1445,7403
961 - 963,962,,,,,,,,
961 - 963,963,,,,,,,,
971 - 974,971,1806,1989,987,4238,1796,1288,8304,20408
971 - 974,972,,,,,,,,
971 - 974,973,,,,,,,,
971 - 974,974,,,,,,,,
975,975,1541,1745,1226,3511,920,648,5421,15012
976,976,781,1152,762,1294,364,182,945,5480
