Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Greece,GRC,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,35.0041044593642,35.9681466011804,28.7616598455747,30.726892810869,32.3092041161275,33.1337726282947,33.1657139410876,34.7764129846611,31.6709800188316,31.1811364663292
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.27374685710487,-0.335172557312063,-4.3007336666282,-5.4790371077553,-9.13249415322949,-7.30049393532073,-3.24142502506591,0.739777123496509,-0.290902296942548,-0.24431474084669
Greece,GRC,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,30054.8893883805,29874.7434456727,28514.8100942614,26917.7589787254,24495.7111345202,22830.5267787719,22251.2572924131,22565.6804825426,22648.7698813993,22687.6003260908
Qatar,QAT,Time to prepare and pay taxes (hours),IC.TAX.DURS,36,36,36,36,36,48,41,41,41,41
Qatar,QAT,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.26093995571136,1.26499998569489,1.18060994148254,1.04105997085571,0.916750013828278,1.36696994304657,1.49936997890472,1.38416004180908,1.2639399766922,1.17379999160767
Qatar,QAT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.0577697753906,87.8612976074219,91.6705703735352,101.146118164063,110.231658935547,84.9663314819336,76.9401626586914,83.8008117675781,91.172492980957,92.5331573486328
Qatar,QAT,"Population, total",SP.POP.TOTL,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804
Qatar,QAT,Population growth (annual %),SP.POP.GROW,16.3316379027378,15.5185397571342,13.5394208214357,11.2206863282288,9.24508262787044,7.76010356468356,6.4657229155433,5.36123596355156,4.41261562420118,3.49506991849135
Qatar,QAT,"Population ages 0-14, total",SP.POP.0014.TO,193712,204473,218252,232856,259486,281838,303599,324863,343106,356736
Qatar,QAT,"Population ages 15-64, total",SP.POP.1564.TO,982313,1169384,1355294,1528238,1672461,1806118,1923698,2024601,2111390,2182534
Qatar,QAT,"Population ages 65 and above, total",SP.POP.65UP.TO,13608,15485,17234,18582,20107,21612,23176,24955,27043,30534
Qatar,QAT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,35.8367338498442,28.0704890331591,29.0092868820684,23.7506073538111,26.1019286002011,29.2738731373351,29.6653575146295,31.0362375409308,36.0003003529147,41.6254448799387
Qatar,QAT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,17.9856567913966,17.6635563797622,11.9565611406968,19.592331533546,13.3751764061915,4.68725917732711,4.41027461916184,3.97888214728583,3.55101568700967,2.22312097167656
Qatar,QAT,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,66761.6227443087,67262.4517149952,65769.0071794388,70306.2278449301,72670.9586637702,70396.8161178956,68899.4853105472,67901.2188129755,67277.24312946,66410.7564675877
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Jobs,,,,,,,,,,,,,
Last Updated: 08/14/2020,,,,,,,,,,,,,
