Date,Ticker,Open,High,Low,Close,Adj Close,Volume
26/5/2020,MSFT,186.339996,186.5,181.100006,181.570007,181.132156,36073600
27/5/2020,MSFT,180.199997,181.990005,176.600006,181.809998,181.371567,39517100
28/5/2020,MSFT,180.740005,184.149994,180.380005,181.399994,180.962555,33810200
29/5/2020,MSFT,182.729996,184.270004,180.410004,183.25,182.80809,42146700
1/6/2020,MSFT,182.539993,183,181.460007,182.830002,182.389114,22622400
2/6/2020,MSFT,184.25,185,181.350006,184.910004,184.464096,30794600
3/6/2020,MSFT,184.820007,185.940002,183.580002,185.360001,184.91301,27311000
4/6/2020,MSFT,184.300003,185.839996,182.300003,182.919998,182.478882,28761800
5/6/2020,MSFT,182.619995,187.729996,182.009995,187.199997,186.748566,39893600
8/6/2020,MSFT,185.940002,188.550003,184.440002,188.360001,187.905777,33211600
9/6/2020,MSFT,188,190.699997,187.259995,189.800003,189.3423,29783900
10/6/2020,MSFT,191.130005,198.520004,191.009995,196.839996,196.365326,43872300
11/6/2020,MSFT,193.130005,195.759995,186.070007,186.270004,185.820816,52854700
12/6/2020,MSFT,190.539993,191.720001,185.179993,187.740005,187.287277,43345700
15/6/2020,MSFT,184.580002,190.820007,184.009995,188.940002,188.484375,32770200
16/6/2020,MSFT,192.889999,195.580002,191.460007,193.570007,193.10321,42556700
17/6/2020,MSFT,195.029999,196.320007,193.690002,194.240005,193.771591,25655900
18/6/2020,MSFT,194,196.490005,194,196.320007,195.846588,23061600
19/6/2020,MSFT,198.589996,199.289993,194.369995,195.149994,194.679398,44441100
22/6/2020,MSFT,195.789993,200.759995,195.229996,200.570007,200.086334,32818900
23/6/2020,MSFT,202.089996,203.949997,201.429993,201.910004,201.423096,30917400
24/6/2020,MSFT,201.600006,203.25,196.559998,197.839996,197.362915,36740600
25/6/2020,MSFT,197.800003,200.610001,195.470001,200.339996,199.856873,27803900
26/6/2020,MSFT,199.729996,199.889999,194.880005,196.330002,195.856552,54675800
29/6/2020,MSFT,195.779999,198.529999,193.550003,198.440002,197.961472,26701600
30/6/2020,MSFT,197.880005,204.399994,197.740005,203.509995,203.019226,34310300
1/7/2020,MSFT,203.139999,206.350006,201.770004,204.699997,204.20636,32061200
2/7/2020,MSFT,205.679993,208.020004,205,206.259995,205.762604,29315800
6/7/2020,MSFT,208.830002,211.130005,208.089996,210.699997,210.191895,31897600
7/7/2020,MSFT,210.449997,214.669998,207.990005,208.25,207.747803,33600700
8/7/2020,MSFT,210.070007,213.259995,208.690002,212.830002,212.316772,33600000
9/7/2020,MSFT,216.330002,216.380005,211.470001,214.320007,213.803177,33121700
10/7/2020,MSFT,213.619995,214.080002,211.080002,213.669998,213.154739,26177600
13/7/2020,MSFT,214.479996,215.800003,206.5,207.070007,206.570663,38135600
14/7/2020,MSFT,206.130005,208.850006,202.029999,208.350006,207.84758,37591800
15/7/2020,MSFT,209.559998,211.330002,205.029999,208.039993,207.538315,32179400
16/7/2020,MSFT,205.399994,205.699997,202.309998,203.919998,203.428253,29940700
17/7/2020,MSFT,204.470001,205.039993,201.389999,202.880005,202.390762,31635300
20/7/2020,MSFT,205,212.300003,203.009995,211.600006,211.089737,36884800
21/7/2020,MSFT,213.660004,213.940002,208.029999,208.75,208.246597,38105800
22/7/2020,MSFT,209.199997,212.300003,208.389999,211.75,211.239365,49605700
23/7/2020,MSFT,207.190002,210.919998,202.149994,202.539993,202.051575,67457000
24/7/2020,MSFT,200.419998,202.860001,197.509995,201.300003,200.814575,39827000
27/7/2020,MSFT,201.470001,203.970001,200.860001,203.850006,203.358429,30160900
28/7/2020,MSFT,203.610001,204.699997,201.740005,202.020004,201.532837,23251400
29/7/2020,MSFT,202.5,204.649994,202.009995,204.059998,203.567917,19632600
30/7/2020,MSFT,201,204.460007,199.570007,203.899994,203.408295,25079600
31/7/2020,MSFT,204.399994,205.100006,199.009995,205.009995,204.51561,51248000
3/8/2020,MSFT,211.520004,217.639999,210.440002,216.539993,216.017807,78983000
4/8/2020,MSFT,214.169998,214.770004,210.309998,213.289993,212.77565,49280100
5/8/2020,MSFT,214.899994,215,211.570007,212.940002,212.426498,28858600
6/8/2020,MSFT,212.339996,216.369995,211.550003,216.350006,215.828278,32656800
7/8/2020,MSFT,214.850006,215.699997,210.929993,212.479996,211.967606,27789600
10/8/2020,MSFT,211.669998,211.880005,206.350006,208.25,207.747803,36716500
11/8/2020,MSFT,207.160004,207.649994,203.139999,203.380005,202.889557,36446500
12/8/2020,MSFT,205.289993,210.279999,204.75,209.190002,208.685547,28041400
13/8/2020,MSFT,209.440002,211.350006,208.149994,208.699997,208.196716,22588900
14/8/2020,MSFT,208.759995,209.589996,207.509995,208.899994,208.39624,17958900
17/8/2020,MSFT,209.600006,211.190002,208.919998,210.279999,209.772919,20184800
18/8/2020,MSFT,210.529999,212.360001,209.210007,211.490005,210.979996,21336200
19/8/2020,MSFT,211.490005,212.100006,209.25,209.699997,209.699997,27627600
20/8/2020,MSFT,209.539993,215,208.910004,214.580002,214.580002,26981500
21/8/2020,MSFT,213.860001,216.25,212.850006,213.020004,213.020004,36152200
